Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
217.31	0.51219	1129.2	0.00088556	2.4885	2.5084	12.426	40.725	78.310	926.28	-0.17674	undefined	undefined	0.016200	13.597	0.073546	15.556	17.214	80.097	30.016	42.709	220.57	26.816	undefined	undefined
217.52	0.51669	1128.5	0.00088611	2.5049	2.5251	12.501	40.718	78.340	924.93	-0.17591	undefined	undefined	0.016153	13.711	0.072936	15.559	17.218	80.048	30.046	42.770	220.59	26.741	undefined	undefined
217.73	0.52122	1127.8	0.00088666	2.5214	2.5418	12.577	40.712	78.370	923.58	-0.17508	undefined	undefined	0.016107	13.825	0.072333	15.562	17.222	79.999	30.076	42.830	220.61	26.667	undefined	undefined
217.94	0.52578	1127.1	0.00088722	2.5379	2.5584	12.653	40.705	78.401	922.24	-0.17425	undefined	undefined	0.016060	13.940	0.071736	15.565	17.226	79.951	30.105	42.891	220.64	26.592	undefined	undefined
218.16	0.53037	1126.4	0.00088777	2.5544	2.5751	12.729	40.699	78.431	920.89	-0.17341	undefined	undefined	0.016013	14.056	0.071145	15.569	17.229	79.902	30.135	42.953	220.66	26.518	undefined	undefined
218.37	0.53499	1125.7	0.00088832	2.5709	2.5918	12.804	40.693	78.462	919.54	-0.17256	undefined	undefined	0.015966	14.172	0.070560	15.572	17.233	79.854	30.165	43.014	220.68	26.445	undefined	undefined
218.58	0.53964	1125.0	0.00088888	2.5874	2.6085	12.880	40.686	78.493	918.19	-0.17172	undefined	undefined	0.015919	14.290	0.069981	15.575	17.237	79.806	30.195	43.076	220.70	26.372	undefined	undefined
218.79	0.54432	1124.3	0.00088944	2.6039	2.6252	12.956	40.680	78.524	916.85	-0.17086	undefined	undefined	0.015873	14.408	0.069407	15.578	17.241	79.757	30.224	43.138	220.72	26.299	undefined	undefined
219.00	0.54903	1123.6	0.00089000	2.6204	2.6419	13.031	40.674	78.556	915.50	-0.17001	undefined	undefined	0.015826	14.526	0.068840	15.581	17.245	79.709	30.254	43.200	220.74	26.226	undefined	undefined
219.22	0.55377	1122.9	0.00089056	2.6369	2.6587	13.106	40.668	78.587	914.15	-0.16915	undefined	undefined	0.015779	14.646	0.068278	15.584	17.249	79.661	30.284	43.262	220.76	26.154	undefined	undefined
219.43	0.55855	1122.2	0.00089112	2.6535	2.6754	13.182	40.662	78.619	912.80	-0.16828	undefined	undefined	0.015733	14.766	0.067721	15.587	17.252	79.614	30.314	43.324	220.78	26.081	undefined	undefined
219.64	0.56335	1121.5	0.00089168	2.6700	2.6921	13.257	40.655	78.651	911.46	-0.16741	undefined	undefined	0.015686	14.887	0.067171	15.591	17.256	79.566	30.344	43.387	220.79	26.010	undefined	undefined
219.85	0.56818	1120.8	0.00089224	2.6865	2.7089	13.333	40.649	78.684	910.11	-0.16653	undefined	undefined	0.015639	15.009	0.066625	15.594	17.260	79.518	30.374	43.450	220.81	25.938	undefined	undefined
220.06	0.57305	1120.1	0.00089281	2.7031	2.7256	13.408	40.643	78.716	908.76	-0.16566	undefined	undefined	0.015593	15.132	0.066085	15.597	17.264	79.470	30.404	43.513	220.83	25.867	undefined	undefined
220.28	0.57794	1119.4	0.00089337	2.7196	2.7424	13.483	40.637	78.749	907.41	-0.16477	undefined	undefined	0.015546	15.255	0.065551	15.600	17.267	79.423	30.434	43.577	220.85	25.796	undefined	undefined
220.49	0.58287	1118.6	0.00089394	2.7362	2.7591	13.558	40.631	78.782	906.07	-0.16388	undefined	undefined	0.015500	15.380	0.065021	15.603	17.271	79.376	30.464	43.640	220.86	25.726	undefined	undefined
220.70	0.58783	1117.9	0.00089451	2.7527	2.7759	13.633	40.625	78.815	904.72	-0.16299	undefined	undefined	0.015453	15.505	0.064497	15.606	17.275	79.328	30.493	43.704	220.88	25.656	undefined	undefined
220.91	0.59282	1117.2	0.00089508	2.7693	2.7927	13.708	40.619	78.848	903.37	-0.16209	undefined	undefined	0.015407	15.630	0.063978	15.609	17.278	79.281	30.523	43.768	220.90	25.586	undefined	undefined
221.12	0.59784	1116.5	0.00089565	2.7859	2.8094	13.783	40.613	78.882	902.02	-0.16119	undefined	undefined	0.015360	15.757	0.063464	15.612	17.282	79.234	30.553	43.832	220.91	25.516	undefined	undefined
221.33	0.60290	1115.8	0.00089622	2.8024	2.8262	13.858	40.607	78.915	900.67	-0.16028	undefined	undefined	0.015314	15.884	0.062956	15.615	17.286	79.187	30.583	43.897	220.93	25.447	undefined	undefined
221.55	0.60798	1115.1	0.00089680	2.8190	2.8430	13.933	40.602	78.949	899.33	-0.15937	undefined	undefined	0.015268	16.012	0.062452	15.618	17.289	79.140	30.614	43.961	220.94	25.378	undefined	undefined
221.76	0.61310	1114.4	0.00089737	2.8356	2.8598	14.008	40.596	78.983	897.98	-0.15845	undefined	undefined	0.015221	16.141	0.061953	15.621	17.293	79.093	30.644	44.026	220.96	25.309	undefined	undefined
221.97	0.61825	1113.6	0.00089795	2.8522	2.8766	14.083	40.590	79.018	896.63	-0.15753	undefined	undefined	0.015175	16.271	0.061459	15.624	17.297	79.046	30.674	44.091	220.97	25.241	undefined	undefined
222.18	0.62344	1112.9	0.00089853	2.8688	2.8935	14.158	40.584	79.052	895.28	-0.15660	undefined	undefined	0.015129	16.402	0.060969	15.627	17.300	78.999	30.704	44.157	220.98	25.173	undefined	undefined
222.39	0.62865	1112.2	0.00089911	2.8854	2.9103	14.233	40.578	79.087	893.93	-0.15567	undefined	undefined	0.015082	16.533	0.060485	15.630	17.304	78.953	30.734	44.222	221.00	25.105	undefined	undefined
222.61	0.63390	1111.5	0.00089969	2.9020	2.9271	14.307	40.573	79.122	892.58	-0.15473	undefined	undefined	0.015036	16.665	0.060005	15.633	17.307	78.906	30.764	44.288	221.01	25.038	undefined	undefined
222.82	0.63918	1110.8	0.00090027	2.9186	2.9440	14.382	40.567	79.157	891.23	-0.15379	undefined	undefined	0.014990	16.798	0.059530	15.636	17.311	78.860	30.794	44.354	221.02	24.970	undefined	undefined
223.03	0.64449	1110.1	0.00090085	2.9353	2.9608	14.457	40.561	79.193	889.88	-0.15284	undefined	undefined	0.014944	16.932	0.059059	15.639	17.314	78.813	30.824	44.421	221.03	24.903	undefined	undefined
223.24	0.64984	1109.3	0.00090144	2.9519	2.9777	14.531	40.556	79.228	888.54	-0.15189	undefined	undefined	0.014898	17.067	0.058593	15.642	17.318	78.767	30.854	44.487	221.05	24.837	undefined	undefined
223.45	0.65522	1108.6	0.00090202	2.9685	2.9945	14.606	40.550	79.264	887.19	-0.15093	undefined	undefined	0.014852	17.202	0.058132	15.645	17.321	78.721	30.885	44.554	221.06	24.770	undefined	undefined
223.67	0.66063	1107.9	0.00090261	2.9852	3.0114	14.680	40.545	79.300	885.84	-0.14997	undefined	undefined	0.014805	17.339	0.057675	15.648	17.325	78.675	30.915	44.621	221.07	24.704	undefined	undefined
223.88	0.66608	1107.2	0.00090320	3.0018	3.0283	14.755	40.539	79.337	884.49	-0.14900	undefined	undefined	0.014759	17.476	0.057222	15.651	17.328	78.629	30.945	44.688	221.08	24.639	undefined	undefined
224.09	0.67156	1106.4	0.00090379	3.0184	3.0452	14.829	40.534	79.373	883.14	-0.14803	undefined	undefined	0.014713	17.614	0.056773	15.654	17.332	78.583	30.975	44.756	221.09	24.573	undefined	undefined
224.30	0.67707	1105.7	0.00090438	3.0351	3.0621	14.904	40.528	79.410	881.79	-0.14705	undefined	undefined	0.014667	17.753	0.056329	15.657	17.335	78.537	31.005	44.823	221.10	24.508	undefined	undefined
