Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
234.90	0.99839	1068.4	0.00093594	3.8765	3.9177	18.574	40.292	81.572	814.10	-0.090711	undefined	undefined	0.012407	25.877	0.038644	15.787	17.486	76.334	32.538	48.562	221.05	21.584	undefined	undefined
235.11	1.0058	1067.7	0.00093662	3.8936	3.9350	18.646	40.288	81.622	812.74	-0.089417	undefined	undefined	0.012363	26.065	0.038365	15.790	17.488	76.291	32.569	48.645	221.03	21.532	undefined	undefined
235.33	1.0132	1066.9	0.00093729	3.9106	3.9524	18.719	40.284	81.673	811.38	-0.088117	undefined	undefined	0.012318	26.255	0.038088	15.792	17.491	76.249	32.600	48.728	221.02	21.480	undefined	undefined
235.54	1.0207	1066.1	0.00093797	3.9276	3.9698	18.791	40.280	81.724	810.02	-0.086809	undefined	undefined	0.012274	26.445	0.037814	15.794	17.493	76.206	32.631	48.812	221.01	21.428	undefined	undefined
235.75	1.0282	1065.4	0.00093865	3.9447	3.9871	18.864	40.276	81.775	808.66	-0.085493	undefined	undefined	0.012230	26.636	0.037542	15.797	17.496	76.164	32.662	48.896	221.00	21.376	undefined	undefined
235.96	1.0358	1064.6	0.00093933	3.9617	4.0045	18.936	40.272	81.827	807.29	-0.084170	undefined	undefined	0.012186	26.829	0.037273	15.799	17.498	76.122	32.693	48.980	220.98	21.325	undefined	undefined
236.17	1.0434	1063.8	0.00094001	3.9788	4.0219	19.009	40.268	81.879	805.93	-0.082840	undefined	undefined	0.012141	27.023	0.037006	15.801	17.501	76.080	32.724	49.065	220.97	21.274	undefined	undefined
236.39	1.0510	1063.0	0.00094070	3.9958	4.0394	19.081	40.264	81.931	804.57	-0.081501	undefined	undefined	0.012097	27.218	0.036741	15.803	17.503	76.037	32.756	49.150	220.95	21.223	undefined	undefined
236.60	1.0587	1062.3	0.00094139	4.0129	4.0568	19.153	40.260	81.984	803.21	-0.080156	undefined	undefined	0.012053	27.413	0.036478	15.806	17.505	75.995	32.787	49.235	220.94	21.172	undefined	undefined
236.81	1.0664	1061.5	0.00094208	4.0300	4.0742	19.226	40.256	82.036	801.85	-0.078802	undefined	undefined	0.012009	27.610	0.036218	15.808	17.508	75.953	32.818	49.321	220.92	21.122	undefined	undefined
237.02	1.0742	1060.7	0.00094277	4.0471	4.0917	19.298	40.253	82.090	800.49	-0.077441	undefined	undefined	0.011965	27.809	0.035960	15.810	17.510	75.911	32.849	49.407	220.91	21.071	undefined	undefined
237.23	1.0820	1059.9	0.00094346	4.0642	4.1091	19.370	40.249	82.143	799.12	-0.076072	undefined	undefined	0.011921	28.008	0.035704	15.812	17.513	75.869	32.880	49.493	220.89	21.021	undefined	undefined
237.45	1.0899	1059.1	0.00094415	4.0813	4.1266	19.442	40.245	82.197	797.76	-0.074695	undefined	undefined	0.011877	28.209	0.035450	15.814	17.515	75.827	32.912	49.580	220.87	20.971	undefined	undefined
237.66	1.0977	1058.4	0.00094485	4.0984	4.1441	19.515	40.242	82.252	796.40	-0.073310	undefined	undefined	0.011833	28.410	0.035199	15.817	17.517	75.785	32.943	49.668	220.86	20.922	undefined	undefined
237.87	1.1057	1057.6	0.00094555	4.1155	4.1615	19.587	40.238	82.306	795.03	-0.071917	undefined	undefined	0.011789	28.613	0.034949	15.819	17.520	75.743	32.974	49.756	220.84	20.872	undefined	undefined
238.08	1.1137	1056.8	0.00094625	4.1327	4.1790	19.659	40.234	82.361	793.67	-0.070516	undefined	undefined	0.011745	28.817	0.034702	15.821	17.522	75.702	33.005	49.844	220.82	20.823	undefined	undefined
238.29	1.1217	1056.0	0.00094695	4.1498	4.1966	19.731	40.231	82.417	792.31	-0.069107	undefined	undefined	0.011701	29.022	0.034457	15.823	17.524	75.660	33.037	49.932	220.80	20.774	undefined	undefined
238.51	1.1297	1055.2	0.00094766	4.1670	4.2141	19.803	40.227	82.472	790.94	-0.067690	undefined	undefined	0.011657	29.228	0.034213	15.825	17.526	75.618	33.068	50.021	220.78	20.725	undefined	undefined
238.72	1.1378	1054.4	0.00094837	4.1841	4.2316	19.875	40.224	82.528	789.58	-0.066265	undefined	undefined	0.011613	29.436	0.033972	15.827	17.529	75.576	33.099	50.111	220.76	20.676	undefined	undefined
238.93	1.1460	1053.7	0.00094907	4.2013	4.2492	19.947	40.220	82.585	788.21	-0.064831	undefined	undefined	0.011569	29.645	0.033733	15.829	17.531	75.535	33.131	50.200	220.74	20.628	undefined	undefined
239.14	1.1542	1052.9	0.00094978	4.2185	4.2667	20.019	40.217	82.641	786.85	-0.063389	undefined	undefined	0.011526	29.855	0.033496	15.831	17.533	75.493	33.162	50.291	220.72	20.580	undefined	undefined
239.35	1.1624	1052.1	0.00095050	4.2357	4.2843	20.091	40.213	82.698	785.48	-0.061938	undefined	undefined	0.011482	30.066	0.033261	15.833	17.535	75.452	33.194	50.381	220.70	20.532	undefined	undefined
239.57	1.1707	1051.3	0.00095121	4.2529	4.3019	20.163	40.210	82.756	784.11	-0.060479	undefined	undefined	0.011438	30.278	0.033027	15.835	17.537	75.410	33.225	50.472	220.68	20.484	undefined	undefined
239.78	1.1790	1050.5	0.00095193	4.2701	4.3195	20.235	40.207	82.814	782.75	-0.059012	undefined	undefined	0.011395	30.491	0.032796	15.837	17.539	75.369	33.256	50.564	220.66	20.436	undefined	undefined
239.99	1.1874	1049.7	0.00095265	4.2873	4.3371	20.307	40.203	82.872	781.38	-0.057536	undefined	undefined	0.011351	30.706	0.032567	15.839	17.541	75.327	33.288	50.656	220.64	20.389	undefined	undefined
240.20	1.1958	1048.9	0.00095337	4.3045	4.3547	20.379	40.200	82.930	780.01	-0.056051	undefined	undefined	0.011307	30.922	0.032339	15.841	17.543	75.286	33.319	50.748	220.62	20.342	undefined	undefined
240.41	1.2042	1048.1	0.00095409	4.3217	4.3723	20.451	40.197	82.989	778.65	-0.054558	undefined	undefined	0.011264	31.139	0.032114	15.843	17.545	75.245	33.351	50.841	220.59	20.295	undefined	undefined
240.63	1.2127	1047.3	0.00095482	4.3390	4.3899	20.523	40.193	83.049	777.28	-0.053055	undefined	undefined	0.011220	31.358	0.031890	15.845	17.548	75.203	33.382	50.934	220.57	20.248	undefined	undefined
240.84	1.2212	1046.5	0.00095555	4.3562	4.4076	20.594	40.190	83.108	775.91	-0.051544	undefined	undefined	0.011177	31.578	0.031668	15.847	17.550	75.162	33.414	51.028	220.55	20.201	undefined	undefined
241.05	1.2298	1045.7	0.00095628	4.3735	4.4252	20.666	40.187	83.168	774.54	-0.050024	undefined	undefined	0.011133	31.798	0.031448	15.849	17.552	75.121	33.445	51.122	220.52	20.155	undefined	undefined
241.26	1.2384	1044.9	0.00095701	4.3907	4.4429	20.738	40.184	83.229	773.17	-0.048495	undefined	undefined	0.011090	32.021	0.031230	15.851	17.553	75.080	33.477	51.217	220.50	20.109	undefined	undefined
241.47	1.2471	1044.1	0.00095774	4.4080	4.4606	20.810	40.180	83.290	771.80	-0.046957	undefined	undefined	0.011047	32.244	0.031013	15.853	17.555	75.039	33.509	51.312	220.47	20.063	undefined	undefined
241.69	1.2558	1043.3	0.00095848	4.4253	4.4783	20.881	40.177	83.351	770.43	-0.045409	undefined	undefined	0.011003	32.469	0.030799	15.855	17.557	74.997	33.540	51.408	220.44	20.017	undefined	undefined
241.90	1.2646	1042.5	0.00095922	4.4426	4.4960	20.953	40.174	83.412	769.06	-0.043853	undefined	undefined	0.010960	32.695	0.030586	15.857	17.559	74.956	33.572	51.504	220.42	19.971	undefined	undefined
242.11	1.2734	1041.7	0.00095996	4.4599	4.5137	21.025	40.171	83.474	767.69	-0.042287	undefined	undefined	0.010917	32.922	0.030375	15.859	17.561	74.915	33.604	51.600	220.39	19.926	undefined	undefined
242.32	1.2822	1040.9	0.00096070	4.4772	4.5315	21.097	40.168	83.537	766.32	-0.040712	undefined	undefined	0.010873	33.151	0.030165	15.861	17.563	74.874	33.635	51.697	220.36	19.881	undefined	undefined
242.53	1.2911	1040.1	0.00096144	4.4946	4.5492	21.168	40.165	83.600	764.95	-0.039127	undefined	undefined	0.010830	33.381	0.029957	15.862	17.565	74.833	33.667	51.795	220.34	19.836	undefined	undefined
242.75	1.3001	1039.3	0.00096219	4.5119	4.5670	21.240	40.162	83.663	763.57	-0.037533	undefined	undefined	0.010787	33.612	0.029751	15.864	17.567	74.792	33.699	51.893	220.31	19.791	undefined	undefined
242.96	1.3090	1038.5	0.00096294	4.5292	4.5847	21.311	40.159	83.727	762.20	-0.035929	undefined	undefined	0.010744	33.845	0.029547	15.866	17.568	74.752	33.730	51.991	220.28	19.746	undefined	undefined
243.17	1.3181	1037.7	0.00096369	4.5466	4.6025	21.383	40.156	83.791	760.83	-0.034316	undefined	undefined	0.010701	34.078	0.029344	15.868	17.570	74.711	33.762	52.090	220.25	19.701	undefined	undefined
243.38	1.3271	1036.9	0.00096445	4.5640	4.6203	21.455	40.153	83.855	759.45	-0.032692	undefined	undefined	0.010658	34.314	0.029143	15.870	17.572	74.670	33.794	52.190	220.22	19.657	undefined	undefined
243.59	1.3363	1036.1	0.00096520	4.5813	4.6381	21.526	40.151	83.920	758.08	-0.031060	undefined	undefined	0.010615	34.550	0.028943	15.871	17.574	74.629	33.826	52.290	220.19	19.613	undefined	undefined
243.81	1.3454	1035.2	0.00096596	4.5987	4.6559	21.598	40.148	83.985	756.71	-0.029417	undefined	undefined	0.010572	34.788	0.028746	15.873	17.575	74.588	33.858	52.391	220.16	19.569	undefined	undefined
244.02	1.3546	1034.4	0.00096672	4.6161	4.6738	21.669	40.145	84.051	755.33	-0.027764	undefined	undefined	0.010529	35.027	0.028549	15.875	17.577	74.548	33.889	52.492	220.13	19.525	undefined	undefined
244.23	1.3639	1033.6	0.00096749	4.6335	4.6916	21.741	40.142	84.117	753.96	-0.026101	undefined	undefined	0.010486	35.268	0.028354	15.877	17.579	74.507	33.921	52.593	220.10	19.482	undefined	undefined
244.44	1.3732	1032.8	0.00096825	4.6509	4.7095	21.812	40.139	84.184	752.58	-0.024428	undefined	undefined	0.010443	35.510	0.028161	15.878	17.580	74.466	33.953	52.696	220.07	19.438	undefined	undefined
244.65	1.3825	1032.0	0.00096902	4.6684	4.7273	21.884	40.137	84.251	751.20	-0.022745	undefined	undefined	0.010400	35.753	0.027970	15.880	17.582	74.425	33.985	52.798	220.04	19.395	undefined	undefined
244.87	1.3919	1031.2	0.00096979	4.6858	4.7452	21.955	40.134	84.318	749.83	-0.021051	undefined	undefined	0.010357	35.998	0.027780	15.882	17.583	74.385	34.017	52.901	220.00	19.352	undefined	undefined
245.08	1.4014	1030.3	0.00097056	4.7033	4.7631	22.026	40.131	84.386	748.45	-0.019347	undefined	undefined	0.010315	36.244	0.027591	15.883	17.585	74.344	34.049	53.005	219.97	19.309	undefined	undefined
245.29	1.4109	1029.5	0.00097134	4.7207	4.7810	22.098	40.129	84.455	747.07	-0.017633	undefined	undefined	0.010272	36.491	0.027404	15.885	17.587	74.304	34.081	53.110	219.94	19.266	undefined	undefined
245.50	1.4204	1028.7	0.00097211	4.7382	4.7989	22.169	40.126	84.524	745.69	-0.015908	undefined	undefined	0.010229	36.740	0.027218	15.887	17.588	74.263	34.113	53.215	219.90	19.224	undefined	undefined
245.71	1.4300	1027.9	0.00097289	4.7557	4.8169	22.241	40.123	84.593	744.32	-0.014173	undefined	undefined	0.010186	36.990	0.027034	15.888	17.590	74.223	34.145	53.320	219.87	19.181	undefined	undefined
245.93	1.4396	1027.0	0.00097368	4.7731	4.8348	22.312	40.121	84.663	742.94	-0.012426	undefined	undefined	0.010144	37.242	0.026851	15.890	17.591	74.182	34.177	53.426	219.83	19.139	undefined	undefined
246.14	1.4493	1026.2	0.00097446	4.7906	4.8528	22.383	40.118	84.733	741.56	-0.010669	undefined	undefined	0.010101	37.495	0.026670	15.891	17.592	74.142	34.209	53.533	219.80	19.097	undefined	undefined
246.35	1.4590	1025.4	0.00097525	4.8082	4.8708	22.454	40.116	84.804	740.18	-0.0089013	undefined	undefined	0.010059	37.750	0.026490	15.893	17.594	74.101	34.241	53.640	219.76	19.055	undefined	undefined
246.56	1.4688	1024.5	0.00097604	4.8257	4.8888	22.526	40.113	84.875	738.79	-0.0071224	undefined	undefined	0.010016	38.006	0.026312	15.894	17.595	74.061	34.273	53.748	219.72	19.014	undefined	undefined
246.77	1.4786	1023.7	0.00097683	4.8432	4.9068	22.597	40.111	84.947	737.41	-0.0053323	undefined	undefined	0.0099737	38.263	0.026135	15.896	17.597	74.020	34.306	53.856	219.69	18.972	undefined	undefined
246.98	1.4885	1022.9	0.00097763	4.8607	4.9248	22.668	40.109	85.019	736.03	-0.0035311	undefined	undefined	0.0099313	38.522	0.025959	15.897	17.598	73.980	34.338	53.965	219.65	18.931	undefined	undefined
247.20	1.4984	1022.1	0.00097842	4.8783	4.9428	22.740	40.106	85.091	734.65	-0.0017186	undefined	undefined	0.0098889	38.783	0.025785	15.899	17.599	73.940	34.370	54.075	219.61	18.890	undefined	undefined
247.41	1.5084	1021.2	0.00097922	4.8959	4.9609	22.811	40.104	85.165	733.27	0.00010524	undefined	undefined	0.0098465	39.044	0.025612	15.900	17.601	73.899	34.402	54.185	219.57	18.849	undefined	undefined
247.62	1.5184	1020.4	0.00098003	4.9134	4.9789	22.882	40.102	85.238	731.88	0.0019406	undefined	undefined	0.0098042	39.308	0.025440	15.902	17.602	73.859	34.434	54.296	219.54	18.808	undefined	undefined
247.83	1.5284	1019.5	0.00098083	4.9310	4.9970	22.953	40.099	85.312	730.50	0.0037874	undefined	undefined	0.0097619	39.572	0.025270	15.903	17.603	73.819	34.467	54.407	219.50	18.767	undefined	undefined
248.04	1.5385	1018.7	0.00098164	4.9486	5.0151	23.024	40.097	85.387	729.11	0.0056460	undefined	undefined	0.0097196	39.839	0.025101	15.905	17.604	73.778	34.499	54.520	219.46	18.727	undefined	undefined
248.26	1.5487	1017.9	0.00098245	4.9662	5.0332	23.096	40.095	85.462	727.73	0.0075162	undefined	undefined	0.0096774	40.107	0.024934	15.906	17.606	73.738	34.531	54.632	219.42	18.686	undefined	undefined
248.47	1.5589	1017.0	0.00098326	4.9839	5.0513	23.167	40.093	85.538	726.34	0.0093984	undefined	undefined	0.0096353	40.376	0.024767	15.907	17.607	73.698	34.564	54.746	219.38	18.646	undefined	undefined
248.68	1.5692	1016.2	0.00098408	5.0015	5.0694	23.238	40.091	85.614	724.96	0.011292	undefined	undefined	0.0095931	40.647	0.024602	15.909	17.608	73.658	34.596	54.860	219.33	18.606	undefined	undefined
248.89	1.5795	1015.3	0.00098490	5.0191	5.0876	23.309	40.089	85.691	723.57	0.013199	undefined	undefined	0.0095510	40.919	0.024438	15.910	17.609	73.618	34.629	54.975	219.29	18.566	undefined	undefined
249.10	1.5898	1014.5	0.00098572	5.0368	5.1058	23.380	40.086	85.768	722.18	0.015117	undefined	undefined	0.0095090	41.193	0.024276	15.911	17.610	73.577	34.661	55.090	219.25	18.527	undefined	undefined
249.32	1.6002	1013.6	0.00098654	5.0544	5.1239	23.451	40.084	85.846	720.79	0.017048	undefined	undefined	0.0094669	41.468	0.024115	15.913	17.611	73.537	34.694	55.206	219.21	18.487	undefined	undefined
249.53	1.6107	1012.8	0.00098737	5.0721	5.1421	23.522	40.082	85.924	719.40	0.018990	undefined	undefined	0.0094250	41.745	0.023955	15.914	17.612	73.497	34.726	55.323	219.16	18.448	undefined	undefined
249.74	1.6212	1011.9	0.00098820	5.0898	5.1603	23.594	40.080	86.003	718.01	0.020946	undefined	undefined	0.0093830	42.024	0.023796	15.915	17.613	73.457	34.759	55.440	219.12	18.408	undefined	undefined
249.95	1.6318	1011.1	0.00098903	5.1075	5.1785	23.665	40.078	86.082	716.62	0.022914	undefined	undefined	0.0093411	42.304	0.023638	15.917	17.614	73.417	34.791	55.559	219.08	18.369	undefined	undefined
250.16	1.6424	1010.2	0.00098987	5.1252	5.1968	23.736	40.076	86.162	715.23	0.024895	undefined	undefined	0.0092992	42.586	0.023482	15.918	17.615	73.377	34.824	55.677	219.03	18.330	undefined	undefined
250.38	1.6530	1009.4	0.00099070	5.1430	5.2150	23.807	40.075	86.243	713.84	0.026888	undefined	undefined	0.0092574	42.869	0.023327	15.919	17.616	73.337	34.856	55.797	218.99	18.292	undefined	undefined
250.59	1.6637	1008.5	0.00099154	5.1607	5.2333	23.878	40.073	86.324	712.45	0.028895	undefined	undefined	0.0092156	43.154	0.023173	15.920	17.617	73.296	34.889	55.917	218.94	18.253	undefined	undefined
250.80	1.6745	1007.7	0.00099239	5.1784	5.2516	23.949	40.071	86.405	711.06	0.030914	undefined	undefined	0.0091739	43.441	0.023020	15.921	17.618	73.256	34.922	56.038	218.89	18.215	undefined	undefined
251.01	1.6853	1006.8	0.00099323	5.1962	5.2699	24.020	40.069	86.488	709.66	0.032947	undefined	undefined	0.0091322	43.729	0.022868	15.923	17.619	73.216	34.955	56.160	218.85	18.176	undefined	undefined
251.22	1.6961	1006.0	0.00099408	5.2140	5.2882	24.091	40.067	86.571	708.27	0.034993	undefined	undefined	0.0090905	44.019	0.022718	15.924	17.620	73.176	34.987	56.283	218.80	18.138	undefined	undefined
251.44	1.7070	1005.1	0.00099494	5.2318	5.3065	24.162	40.066	86.654	706.87	0.037052	undefined	undefined	0.0090489	44.310	0.022568	15.925	17.620	73.136	35.020	56.406	218.75	18.100	undefined	undefined
251.65	1.7180	1004.2	0.00099579	5.2496	5.3248	24.233	40.064	86.738	705.48	0.039125	undefined	undefined	0.0090073	44.603	0.022420	15.926	17.621	73.096	35.053	56.530	218.71	18.062	undefined	undefined
251.86	1.7290	1003.4	0.00099665	5.2674	5.3432	24.304	40.062	86.823	704.08	0.041212	undefined	undefined	0.0089657	44.898	0.022273	15.927	17.622	73.056	35.086	56.655	218.66	18.025	undefined	undefined
252.07	1.7401	1002.5	0.00099751	5.2852	5.3616	24.375	40.061	86.908	702.69	0.043312	undefined	undefined	0.0089242	45.194	0.022127	15.928	17.623	73.016	35.119	56.781	218.61	17.987	undefined	undefined
252.28	1.7512	1001.6	0.00099837	5.3030	5.3800	24.446	40.059	86.994	701.29	0.045426	undefined	undefined	0.0088827	45.493	0.021982	15.929	17.623	72.976	35.152	56.907	218.56	17.950	undefined	undefined
252.50	1.7624	1000.8	0.00099924	5.3209	5.3984	24.517	40.057	87.080	699.89	0.047554	undefined	undefined	0.0088413	45.792	0.021838	15.930	17.624	72.936	35.185	57.034	218.51	17.912	undefined	undefined
252.71	1.7736	999.89	0.0010001	5.3387	5.4168	24.588	40.056	87.167	698.49	0.049697	undefined	undefined	0.0087999	46.094	0.021695	15.931	17.625	72.896	35.218	57.162	218.46	17.875	undefined	undefined
252.92	1.7848	999.02	0.0010010	5.3566	5.4352	24.659	40.054	87.255	697.09	0.051853	undefined	undefined	0.0087586	46.397	0.021553	15.932	17.625	72.856	35.251	57.291	218.41	17.838	undefined	undefined
253.13	1.7962	998.15	0.0010019	5.3745	5.4537	24.730	40.053	87.343	695.69	0.054024	undefined	undefined	0.0087173	46.702	0.021412	15.933	17.626	72.816	35.284	57.421	218.36	17.801	undefined	undefined
253.34	1.8075	997.27	0.0010027	5.3924	5.4722	24.801	40.051	87.432	694.29	0.056210	undefined	undefined	0.0086760	47.009	0.021273	15.934	17.626	72.776	35.317	57.551	218.30	17.765	undefined	undefined
253.56	1.8190	996.39	0.0010036	5.4103	5.4906	24.872	40.050	87.522	692.89	0.058410	undefined	undefined	0.0086347	47.317	0.021134	15.935	17.627	72.736	35.350	57.682	218.25	17.728	undefined	undefined
253.77	1.8304	995.52	0.0010045	5.4282	5.5091	24.943	40.049	87.612	691.49	0.060625	undefined	undefined	0.0085936	47.627	0.020996	15.936	17.627	72.696	35.383	57.815	218.20	17.692	undefined	undefined
253.98	1.8420	994.64	0.0010054	5.4462	5.5277	25.014	40.047	87.703	690.08	0.062855	undefined	undefined	0.0085524	47.939	0.020860	15.937	17.628	72.656	35.416	57.948	218.14	17.655	undefined	undefined
254.19	1.8536	993.75	0.0010063	5.4641	5.5462	25.085	40.046	87.795	688.68	0.065100	undefined	undefined	0.0085113	48.253	0.020724	15.938	17.628	72.616	35.450	58.082	218.09	17.619	undefined	undefined
254.40	1.8652	992.87	0.0010072	5.4821	5.5648	25.155	40.045	87.887	687.27	0.067360	undefined	undefined	0.0084702	48.568	0.020590	15.939	17.629	72.576	35.483	58.217	218.04	17.583	undefined	undefined
254.62	1.8769	991.99	0.0010081	5.5000	5.5833	25.226	40.044	87.980	685.87	0.069636	undefined	undefined	0.0084292	48.885	0.020456	15.939	17.629	72.536	35.516	58.352	217.98	17.547	undefined	undefined
254.83	1.8886	991.10	0.0010090	5.5180	5.6019	25.297	40.042	88.074	684.46	0.071927	undefined	undefined	0.0083882	49.204	0.020323	15.940	17.630	72.496	35.550	58.489	217.92	17.512	undefined	undefined
255.04	1.9004	990.21	0.0010099	5.5360	5.6205	25.368	40.041	88.168	683.05	0.074234	undefined	undefined	0.0083473	49.525	0.020192	15.941	17.630	72.456	35.583	58.626	217.87	17.476	undefined	undefined
255.25	1.9123	989.32	0.0010108	5.5541	5.6391	25.439	40.040	88.263	681.64	0.076556	undefined	undefined	0.0083064	49.848	0.020061	15.942	17.630	72.416	35.616	58.765	217.81	17.441	undefined	undefined
255.46	1.9242	988.43	0.0010117	5.5721	5.6578	25.510	40.039	88.359	680.23	0.078895	undefined	undefined	0.0082655	50.173	0.019931	15.943	17.630	72.377	35.650	58.904	217.75	17.405	undefined	undefined
255.68	1.9361	987.54	0.0010126	5.5901	5.6764	25.581	40.038	88.456	678.82	0.081250	undefined	undefined	0.0082247	50.499	0.019802	15.943	17.631	72.337	35.683	59.045	217.70	17.370	undefined	undefined
255.89	1.9482	986.65	0.0010135	5.6082	5.6951	25.652	40.037	88.553	677.41	0.083621	undefined	undefined	0.0081839	50.827	0.019675	15.944	17.631	72.297	35.717	59.186	217.64	17.335	undefined	undefined
256.10	1.9602	985.75	0.0010145	5.6263	5.7138	25.723	40.036	88.651	676.00	0.086008	undefined	undefined	0.0081432	51.157	0.019548	15.945	17.631	72.257	35.750	59.328	217.58	17.300	undefined	undefined
256.31	1.9723	984.85	0.0010154	5.6444	5.7325	25.794	40.035	88.750	674.59	0.088412	undefined	undefined	0.0081025	51.489	0.019422	15.945	17.631	72.217	35.784	59.472	217.52	17.265	undefined	undefined
256.52	1.9845	983.95	0.0010163	5.6625	5.7512	25.865	40.034	88.850	673.18	0.090833	undefined	undefined	0.0080618	51.823	0.019296	15.946	17.631	72.177	35.818	59.616	217.46	17.231	undefined	undefined
256.74	1.9967	983.05	0.0010172	5.6806	5.7700	25.936	40.033	88.950	671.76	0.093270	undefined	undefined	0.0080212	52.159	0.019172	15.947	17.631	72.137	35.852	59.761	217.40	17.196	undefined	undefined
256.95	2.0090	982.15	0.0010182	5.6987	5.7887	26.006	40.032	89.051	670.35	0.095725	undefined	undefined	0.0079806	52.497	0.019049	15.947	17.632	72.097	35.885	59.908	217.34	17.162	undefined	undefined
257.16	2.0214	981.25	0.0010191	5.7169	5.8075	26.077	40.032	89.153	668.93	0.098197	undefined	undefined	0.0079401	52.836	0.018926	15.948	17.632	72.057	35.919	60.055	217.28	17.127	undefined	undefined
257.37	2.0338	980.34	0.0010201	5.7350	5.8263	26.148	40.031	89.255	667.51	0.10069	undefined	undefined	0.0078996	53.178	0.018805	15.948	17.632	72.017	35.953	60.203	217.22	17.093	undefined	undefined
257.58	2.0462	979.43	0.0010210	5.7532	5.8451	26.219	40.030	89.359	666.09	0.10319	undefined	undefined	0.0078592	53.522	0.018684	15.949	17.632	71.977	35.987	60.353	217.16	17.059	undefined	undefined
257.80	2.0587	978.52	0.0010219	5.7714	5.8640	26.290	40.029	89.463	664.67	0.10572	undefined	undefined	0.0078188	53.867	0.018564	15.949	17.631	71.936	36.021	60.503	217.09	17.025	undefined	undefined
258.01	2.0713	977.61	0.0010229	5.7896	5.8828	26.361	40.029	89.568	663.25	0.10826	undefined	undefined	0.0077784	54.215	0.018445	15.950	17.631	71.896	36.055	60.655	217.03	16.991	undefined	undefined
258.22	2.0839	976.70	0.0010239	5.8078	5.9017	26.432	40.028	89.674	661.83	0.11082	undefined	undefined	0.0077381	54.564	0.018327	15.950	17.631	71.856	36.089	60.808	216.97	16.958	undefined	undefined
258.43	2.0966	975.78	0.0010248	5.8260	5.9206	26.503	40.028	89.781	660.41	0.11340	undefined	undefined	0.0076979	54.916	0.018210	15.951	17.631	71.816	36.123	60.962	216.90	16.924	undefined	undefined
258.64	2.1093	974.87	0.0010258	5.8443	5.9395	26.574	40.027	89.888	658.99	0.11600	undefined	undefined	0.0076576	55.269	0.018093	15.951	17.631	71.776	36.157	61.117	216.84	16.891	undefined	undefined
258.86	2.1221	973.95	0.0010267	5.8625	5.9584	26.645	40.027	89.997	657.57	0.11861	undefined	undefined	0.0076175	55.625	0.017978	15.952	17.631	71.736	36.191	61.273	216.77	16.857	undefined	undefined
259.07	2.1349	973.03	0.0010277	5.8808	5.9774	26.716	40.026	90.106	656.14	0.12125	undefined	undefined	0.0075773	55.982	0.017863	15.952	17.630	71.696	36.225	61.430	216.71	16.824	undefined	undefined
259.28	2.1478	972.11	0.0010287	5.8991	5.9964	26.787	40.026	90.216	654.71	0.12390	undefined	undefined	0.0075372	56.342	0.017749	15.952	17.630	71.656	36.260	61.589	216.64	16.791	undefined	undefined
259.49	2.1608	971.18	0.0010297	5.9174	6.0154	26.858	40.025	90.328	653.29	0.12658	undefined	undefined	0.0074972	56.704	0.017635	15.953	17.630	71.616	36.294	61.748	216.57	16.758	undefined	undefined
259.70	2.1738	970.26	0.0010307	5.9358	6.0344	26.929	40.025	90.439	651.86	0.12927	undefined	undefined	0.0074572	57.068	0.017523	15.953	17.629	71.576	36.328	61.909	216.50	16.725	undefined	undefined
259.92	2.1868	969.33	0.0010316	5.9541	6.0534	26.999	40.025	90.552	650.43	0.13198	undefined	undefined	0.0074172	57.434	0.017411	15.953	17.629	71.535	36.363	62.071	216.44	16.692	undefined	undefined
260.13	2.2000	968.40	0.0010326	5.9725	6.0724	27.070	40.024	90.666	649.00	0.13472	undefined	undefined	0.0073773	57.802	0.017301	15.953	17.629	71.495	36.397	62.235	216.37	16.660	undefined	undefined
260.34	2.2131	967.47	0.0010336	5.9908	6.0915	27.141	40.024	90.781	647.57	0.13747	undefined	undefined	0.0073374	58.172	0.017190	15.954	17.628	71.455	36.432	62.399	216.30	16.627	undefined	undefined
260.55	2.2264	966.53	0.0010346	6.0092	6.1106	27.212	40.024	90.897	646.14	0.14024	undefined	undefined	0.0072976	58.544	0.017081	15.954	17.628	71.415	36.466	62.565	216.23	16.595	undefined	undefined
260.76	2.2397	965.60	0.0010356	6.0276	6.1297	27.283	40.024	91.013	644.70	0.14304	undefined	undefined	0.0072578	58.919	0.016972	15.954	17.627	71.374	36.501	62.732	216.16	16.563	undefined	undefined
260.98	2.2530	964.66	0.0010366	6.0460	6.1488	27.354	40.024	91.131	643.27	0.14585	undefined	undefined	0.0072181	59.296	0.016865	15.954	17.626	71.334	36.536	62.900	216.09	16.530	undefined	undefined
